3706070957,50.54,93.88,663.94,47.20,939.56,626.44,-9.90,-0.94,0.11,35.347224,-117.809282,628.10,8.10
3706206954,50.54,93.88,664.69,47.21,939.62,625.84,-9.83,-0.78,0.21,35.347224,-117.809282,628.10,8.10
3706342954,50.53,93.88,665.23,47.20,939.59,626.17,-9.73,-0.77,0.21,35.347224,-117.809282,628.10,8.10
3706478966,50.53,93.87,664.85,47.20,939.65,625.51,-9.78,-0.77,0.18,35.347224,-117.809282,628.10,8.11
3706614954,50.53,93.88,665.01,47.20,939.61,625.93,-10.10,-0.91,0.16,35.347224,-117.809282,628.10,8.10
3706750963,50.53,93.88,664.80,47.20,939.63,625.77,-9.69,-1.00,0.14,35.347224,-117.809282,628.10,8.10
3707082154,50.53,93.88,664.83,47.17,939.61,625.88,-9.83,-0.78,0.22,35.347224,-117.809282,628.20,8.10
3707218951,50.49,93.88,664.83,47.18,939.63,625.69,-9.80,-0.71,0.08,35.347224,-117.809282,628.20,8.10
3707354945,50.49,93.87,665.07,47.19,939.65,625.46,-9.91,-0.92,0.28,35.347224,-117.809282,628.20,8.10
3707490960,50.49,93.87,664.32,47.20,939.60,625.97,-9.82,-1.03,0.12,35.347224,-117.809282,628.20,8.10
3707626954,50.48,93.87,664.11,47.20,939.59,626.11,-9.73,-1.14,0.16,35.347224,-117.809282,628.20,8.10
3707762961,50.47,93.88,664.43,47.20,939.61,625.94,-6.46,1.71,0.94,35.347225,-117.809284,628.20,8.10
3707898960,50.45,93.88,659.22,47.20,940.19,620.09,-52.78,-19.88,9.28,35.347225,-117.809284,628.00,8.10
3708034945,50.44,93.96,666.23,47.20,939.44,627.61,-41.57,-3.73,5.90,35.347225,-117.809284,628.00,8.10
3708170941,50.39,93.86,665.83,47.20,939.31,628.93,-57.32,-7.05,-2.45,35.347225,-117.809284,628.00,8.10
3708306945,50.35,93.84,669.26,47.20,939.17,630.35,-56.27,15.96,-1.78,35.347225,-117.809284,628.00,8.10
3708442941,50.31,93.82,670.84,47.20,938.74,634.74,-56.54,21.40,10.29,35.347225,-117.809284,628.00,8.10
3708578954,50.30,93.78,674.61,47.20,938.31,639.10,-58.83,-20.89,9.14,35.347225,-117.809284,628.00,8.10
3708714962,50.28,93.74,680.18,47.20,937.81,644.12,-85.18,-2.67,6.29,35.347225,-117.809284,628.00,8.11
3708850945,50.26,93.70,687.42,47.21,937.21,650.20,-64.19,-4.23,3.89,35.347202,-117.809273,628.00,8.09
3708986954,50.24,93.63,692.97,47.21,936.32,659.17,-64.57,1.37,1.99,35.347202,-117.809273,630.80,8.10
3709122949,50.23,93.54,702.44,47.20,935.34,669.16,-63.13,-7.77,5.11,35.347202,-117.809273,630.80,8.09
3709258954,50.23,93.45,714.47,47.20,934.02,682.58,-63.48,-3.15,-1.52,35.347202,-117.809273,630.80,8.09
3709394945,50.24,93.31,726.73,47.21,932.56,697.45,-70.03,-3.29,0.29,35.347202,-117.809273,630.80,8.09
3709530941,50.24,93.17,738.95,47.21,931.10,712.28,-63.35,-0.93,0.11,35.347202,-117.809273,630.80,8.09
3709666945,50.24,93.02,751.20,47.21,929.84,725.20,-66.76,-3.60,3.57,35.347202,-117.809273,630.80,8.09
3709802959,50.20,92.90,764.31,47.20,928.33,740.62,-64.73,-1.73,3.06,35.347202,-117.809273,630.80,8.10
3709938954,50.16,92.75,776.33,47.21,926.88,755.46,-67.76,-4.17,5.97,35.347271,-117.809145,630.80,8.09
3710074954,50.11,92.60,795.25,47.21,924.98,774.99,-65.40,-10.15,0.65,35.347271,-117.809145,634.90,8.09
3710210983,50.05,92.41,816.54,47.21,922.58,799.68,-67.10,-2.94,-0.91,35.347271,-117.809145,634.90,8.11
3710346948,50.00,92.17,833.84,47.21,920.62,819.92,-70.25,-5.05,0.49,35.347271,-117.809145,634.90,8.09
3710482957,49.95,91.97,849.39,47.21,918.86,838.18,-67.30,1.37,0.17,35.347271,-117.809145,634.90,8.09
3710618941,49.93,91.79,866.64,47.21,916.85,859.00,-66.14,-3.18,3.53,35.347271,-117.809145,634.90,8.09
3710754939,49.91,91.61,891.08,47.21,914.21,886.48,-69.80,-3.07,2.15,35.347271,-117.809145,634.90,8.09
3710890954,49.91,91.35,914.97,47.21,911.59,913.91,-70.82,-7.48,0.95,35.347619,-117.808997,634.90,8.09
3711026954,49.89,91.07,937.71,47.21,908.95,941.49,-66.80,0.46,3.01,35.347619,-117.808997,638.70,8.10
3711162954,49.87,90.80,961.10,47.21,906.45,967.86,-66.25,0.12,-0.08,35.347619,-117.808997,638.70,8.09
3711298970,49.86,90.56,988.49,47.21,903.51,998.88,-68.48,1.25,5.09,35.347619,-117.808997,638.70,8.09
3711434941,49.81,90.27,1015.10,47.21,900.51,1030.64,-70.39,-0.02,0.48,35.347619,-117.808997,638.70,8.09
3711570945,49.77,89.97,1049.30,47.21,896.76,1070.53,-67.66,-3.25,2.95,35.347619,-117.808997,638.70,8.09
3711706960,49.71,89.59,1078.02,47.21,893.72,1103.08,-70.05,-1.07,3.64,35.347619,-117.808997,638.70,8.09
3711842963,49.65,89.29,1107.80,47.21,890.39,1138.84,-67.23,0.37,4.21,35.347619,-117.808997,638.70,8.09
3711978953,49.62,88.95,1143.78,47.21,886.57,1180.01,-72.05,-3.66,4.27,35.347619,-117.808997,638.70,8.09
3712190131,49.59,88.57,1197.89,47.20,880.86,1241.94,-63.06,-5.00,3.36,35.347619,-117.808997,638.70,8.09
3712326954,49.55,88.00,1236.37,47.20,876.65,1287.98,-68.18,2.74,2.06,35.347619,-117.808997,638.70,8.09
3712462945,49.55,87.57,1278.63,47.21,872.13,1337.66,-72.94,-5.67,4.39,35.347619,-117.808997,638.70,8.09
3712598954,49.58,87.13,1313.36,47.21,868.45,1378.42,-69.80,-0.65,4.86,35.347619,-117.808997,638.70,8.09
3712734954,49.59,86.76,1349.32,47.20,864.62,1420.98,-71.15,1.71,7.89,35.347619,-117.808997,638.70,8.09
3712870976,49.63,86.39,1388.14,47.21,860.50,1466.96,-61.09,3.40,2.71,35.347619,-117.808997,638.70,8.09
3713006945,49.66,85.96,1429.76,47.21,856.12,1516.26,-65.62,-10.02,5.01,35.347619,-117.808997,638.70,8.09
3713142960,49.68,85.52,1482.57,47.21,850.61,1578.57,-73.21,-6.19,6.87,35.347619,-117.808997,638.70,8.09
3713278945,49.71,84.97,1534.27,47.21,845.28,1639.40,-70.05,-0.86,8.18,35.347619,-117.808997,638.70,8.09
3713414954,49.76,84.44,1581.83,47.21,840.32,1696.41,-66.87,2.83,5.20,35.347619,-117.808997,638.70,8.09
3713550945,49.78,83.95,1632.06,47.21,835.11,1756.66,-63.95,0.87,5.37,35.347619,-117.808997,638.70,8.09
3713686960,49.78,83.43,1674.53,47.21,830.78,1807.04,-65.95,-6.28,9.61,35.347619,-117.808997,638.70,8.09
3713822968,49.77,82.99,1715.37,47.21,826.55,1856.61,-73.35,5.25,-2.49,35.347619,-117.808997,638.70,8.10
3713958948,49.79,82.56,1774.52,47.21,820.50,1928.09,-66.50,8.12,-0.81,35.347619,-117.808997,638.70,8.09
3714094965,49.80,81.97,1846.76,47.21,813.53,2011.25,-61.74,4.17,9.63,35.347619,-117.808997,638.70,8.09
3714230954,49.81,81.26,1803.98,47.21,817.87,1959.30,-61.59,-4.21,15.05,35.347619,-117.808997,638.70,8.09
3714366947,49.81,81.70,1827.76,47.21,815.41,1988.74,-56.25,-4.84,8.18,35.347619,-117.808997,638.70,8.09
3714502954,49.85,81.45,1855.19,47.22,812.47,2023.94,-58.24,11.56,0.65,35.347619,-117.808997,638.70,8.09
3714638947,49.85,81.17,1888.34,47.21,809.18,2063.51,-58.95,-14.47,5.76,35.347619,-117.808997,638.70,8.09
3714774966,49.86,80.83,1936.40,47.22,804.25,2123.17,-59.56,-8.15,6.43,35.347619,-117.808997,638.70,8.09
3714910945,49.86,80.35,1989.29,47.22,799.04,2186.68,-49.33,7.07,1.65,35.347619,-117.808997,638.70,8.09
3715046961,49.86,79.82,2045.85,47.22,793.65,2252.97,-35.69,-11.78,12.50,35.347619,-117.808997,638.70,8.09
3715182960,49.85,79.28,2099.56,47.22,788.14,2321.28,-27.72,-1.26,-3.27,35.347619,-117.808997,638.70,8.09
