ÈADS1256 - Custom Library Demo File by Curious Scientist - 2023-11-10
before setup
after setup
PGA: 0
MUX: 1
DRATE: 161
1.0715,1.0023,1.0619,0.0431,
1.0707,1.0019,1.0618,0.0438,
1.0708,1.0024,1.0619,0.0424,
1.0708,1.0026,1.0620,0.0441,
1.0707,1.0019,1.0619,0.0434,
1.0707,1.0028,1.0618,0.0432,
1.0706,1.0062,1.0619,0.0427,
1.0706,1.0055,1.0619,0.0436,
1.0706,1.0057,1.0618,0.0439,
1.0707,1.0056,1.0619,0.0430,
1.0706,1.0057,1.0619,0.0424,
1.0706,1.0055,1.0619,0.0448,
1.0706,1.0055,1.0618,0.0416,
1.0706,1.0057,1.0619,0.0431,
1.0706,1.0055,1.0619,0.0434,
1.0706,1.0056,1.0619,0.0423,
1.0706,1.0056,1.0619,0.0432,
1.0705,1.0056,1.0621,0.0439,
1.0704,1.0057,1.0618,0.0439,
1.0705,1.0056,1.0619,0.0438,
1.0706,1.0056,1.0619,0.0420,
1.0706,1.0057,1.0618,0.0425,
1.0706,1.0056,1.0619,0.0433,
1.0706,1.0058,1.0618,0.0427,
1.0706,1.0058,1.0619,0.0432,
1.0706,1.0058,1.0619,0.0427,
1.0705,1.0058,1.0618,0.0423,
1.0705,1.0058,1.0619,0.0425,
1.0705,1.0059,1.0619,0.0428,
1.0705,1.0058,1.0619,0.0436,
1.0705,1.0058,1.0618,0.0426,
1.0704,1.0058,1.0618,0.0421,
1.0705,1.0058,1.0618,0.0435,
1.0706,1.0059,1.0618,0.0424,
1.0705,1.0057,1.0622,0.0439,
1.0704,1.0032,1.0618,0.0444,
1.0706,1.0035,1.0618,0.0434,
1.0706,1.0021,1.0619,0.0439,
1.0705,1.0055,1.0618,0.0428,
1.0704,1.0054,1.0618,0.0436,
1.0705,1.0055,1.0617,0.0432,
1.0705,1.0054,1.0618,0.0441,
1.0704,1.0054,1.0618,0.0427,
1.0704,1.0053,1.0618,0.0422,
1.0705,1.0054,1.0618,0.0424,
1.0704,1.0055,1.0620,0.0435,
1.0704,1.0053,1.0617,0.0428,
1.0705,1.0053,1.0619,0.0433,
1.0705,1.0054,1.0618,0.0437,
1.0705,1.0054,1.0619,0.0437,
1.0704,1.0054,1.0619,0.0443,
1.0705,1.0060,1.0618,0.0432,
1.0704,1.0055,1.0619,0.0429,
1.0704,1.0053,1.0618,0.0448,
1.0705,1.0054,1.0617,0.0438,
1.0704,1.0054,1.0618,0.0442,
1.0704,1.0055,1.0619,0.0441,
1.0703,1.0054,1.0618,0.0438,
1.0704,1.0054,1.0618,0.0441,
1.0704,1.0054,1.0618,0.0447,
1.0705,1.0054,1.0618,0.0433,
1.0704,1.0055,1.0618,0.0417,
1.0704,1.0053,1.0621,0.0442,
1.0705,1.0055,1.0618,0.0439,
1.0705,1.0054,1.0617,0.0421,
1.0704,1.0053,1.0618,0.0428,
1.0703,1.0053,1.0618,0.0444,
1.0705,1.0054,1.0618,0.0420,
1.0706,1.0008,1.0618,0.0434,
1.0705,1.0017,1.0618,0.0427,
1.0703,1.0017,1.0618,0.0436,
1.0705,1.0015,1.0618,0.0424,
1.0706,1.0019,1.0618,0.0426,
1.0705,1.0023,1.0618,0.0423,
1.0704,1.0055,1.0619,0.0423,
1.0704,1.0054,1.0618,0.0431,
1.0705,1.0053,1.0619,0.0435,
1.0704,1.0053,1.0619,0.0426,
